COURSEID,COURSECODE,COURSETITLE,COURSECREDITS
1,ACAD1102L,COMPUTER AIDED DRAFTING I,2
2,ACTG1014,PRINCIPLES OF ACCOUNTING I,3
3,ACTG1054,PRINCIPLES OF ACCOUNTING II,3
4,ACTG201,PRINCIPLES OF ACCOUNTING I,3
5,ACTG202,PRINCIPLES OF FINANCIAL ACTG II,3
6,ALHL2012,HUMAN ANATOMY AND PHYSIOLOGY I,3
7,ALHL2021,HUMAN ANATOMY AND PHYSIOLOGY II,3
8,ANTH1014,INTRODUCTION TO ANTHROPOLOGY,0
9,ANTH1024,INTRODUCTION TO CULTURAL ANTHROPOLOGY,3
10,ANTH221,INTRODUCTION TO ANTHROPOLOGY,3
11,BCOM2014,BUSINESS COMMUNICATION,3
12,BCOM210,BUSINESS COMMUNICATION,3
13,BIO105,BIOLOGY LAB I,1
14,BIOL0016,DEVELOPMENTAL BIOLOGY,0
15,BIOL090,DEVELOPMENTAL BIOLOGY,0
17,BIOL1015L,GENERAL BIOLOGY I LAB,1
18,BIOL1015,GENERAL BIOLOGY I,3
16,BIOL101,CYTOLOGY,3
19,BIOL1025L,GENERAL BIOLOGY II LAB,1
20,BIOL1025,GENERAL BIOLOGY II,3
21,BIOL103,BIOCHEMISTRY,3
22,BIOL104,REPROD. OF GENETICS & EVOLUTION,3
23,BIOL1102,GENETICS,3
24,BIOL1151,CYTOLOGY,3
25,BIOL1201,INTRODUCTION TO BIOCHEMISTRY,3
26,BIOL121L,GENERAL BIOLOGY I LAB,0
27,BIOL121,GENERAL BIOLOGY I,3
28,BIOL122,GENERAL BIOLOGY II,3
29,BIOL1251L,BIOLOGY LAB I,1
30,BIOL1302,BIODIVERSITY,4
31,BIOL1352,"REPRODUCTION, GENETICS & EVOLUTION",3
32,BIOL1402L,BIOLOGY LAB II,1
33,BIOL2015,HUMAN ANATOMY AND PHYSIOLOGY I,3
34,BIOL2151,PLANT PHYSIOLOGY,2
35,BIOL2201,ENERGETICS,2
36,BIOL2251,HUMAN HEALTH & DISEASE,3
37,BIOL2301L,BIOLOGY LAB III,1
38,BIOL2352,ANIMAL PHYSIOLOGY,2
39,BIOL2402,ECOLOGY,2
40,BIOL2452,GROWTH & DEVELOPMENT,2
41,BIOL3402L,GENERAL MICROBIOLOGY LAB,1
42,BIOL3402,GENERAL MICROBIOLOGY,3
43,BLAW2014,BUSINESS LAW,3
44,BLAW220,BUSINESS LAW,3
45,BLDG1101,GEOMETRICAL DRAWING I,2
46,BLDG1151,MASONRY,2
47,BLDG1201,CARPENTRY & JOINERY (THEORY),2
48,BLDG1401,BUILDING CONSTRUCTION & DRAWING I,3
49,CHEM0016,DEVELOPMENTAL CHEMISTRY,0
50,CHEM090,DEVELOPMENTAL CHEMISTRY,0
51,CHEM1015L,GENERAL CHEMISTRY I LAB,1
52,CHEM1015,GENERAL CHEMISTRY I,3
53,CHEM1025L,GENERAL CHEMISTRY II LAB,1
54,CHEM1025,GENERAL CHEMISTRY II,3
55,CHEM1032,ORGANIC AND BIOCHEMISTRY,3
56,CHEM1042,CHEMISTRY FOR ENGINEERS,2
57,CHEM1151L,FUNDAMENTALS OF CHEMISTRY I LAB,1
58,CHEM1151,FUNDAMENTALS OF CHEMISTRY I,4
59,CHEM1202L,FUNDAMENTALS OF CHEMISTRY II LAB,1
60,CHEM1202,FUNDAMENTALS OF CHEMISTRY II,4
61,CHEM121L,GENERAL CHEMISTRY I LAB,0
62,CHEM121,GENERAL CHEMISTRY I,4
63,CHEM122,GENERAL CHEMISTRY II,4
64,CHEM1252,ORGANIC CHEMISTRY I,3
65,CHEM2151L,INORGANIC CHEMISTRY LAB,1
66,CHEM2151,INORGANIC CHEMISTRY,4
67,CIVL1101,PROPERTIES OF MATERIAL I,2
68,CMCN209,COMMUNICATION SKILLS,3
69,CMPS090,REMEDIAL COMPUTER,0
70,CMPS1014,INTRODUCTION TO COMPUTER STUDIES,3
71,CMPS1024,COMPUTER BUSINESS APPLICATIONS,3
72,CMPS1124,AN INTRODUCTION TO PROGRAMMING USING PYTHON,3
73,CMPS1131,PROGRAMMING I,3
74,CMPS1134,FUNDAMENTALS OF COMPUTING,3
75,CMPS1171,INTRODUCTION TO DATABASES,3
76,CMPS1191,NETWORKING FUNDAMENTALS,3
77,CMPS1192,NETWORKING FUNDAMENTALS,3
78,CMPS1211,HARDWARE FUNDAMENTALS,3
79,CMPS1212,BASIC PC REPAIR,3
80,CMPS1232,PRINCIPLES OF PROGRAMMING II,3
81,CMPS140,INTRODUCTION TO COMPUTER STUDIES,3
82,CMPS142,PRINCIPLES OF PROGRAMMING I,3
83,CMPS144,PRINCIPLES OF PROGRAMMING II,3
84,CMPS145,INTRODUCTION TO COMPUTER SYSTEMS,3
85,CMPS146,PROGRAMMING FOUNDATIONS,4
86,CMPS150,COMPUTER BUSINESS APPLICATION,3
87,CMPS155,COMPUTER TECHNOLOGY,3
88,CMPS156,DATA STRUCTURES,3
89,CMPS157,SYSTEM ANALYSIS,3
90,CMPS2111,SYSTEMS ANALYSIS,3
92,CMPS2131,DATA STRUCTURES,3
91,CMPS213,BASIC PC REPAIR,3
93,CMPS2151,WEB DEVELOPMENT,3
94,CMPS2171,DATABASE MANAGEMENT SYSTEMS I,3
95,CMPS2191,NETWORKING 1,3
96,CMPS2212,GUI PROGRAMMING,3
97,CMPS2232,OBJECT ORIENTED SYSTEM DEVELOPMENT,3
