courses_id,student_id,course_id,enrolled_semester,course_grade
1,1,2003-1,82,F
2,1,2003-1,84,D+
3,1,2003-1,180,B
4,4,2001-1,104,C
5,4,2001-2,213,F
6,4,2002-2,88,C
7,4,2003-1,102,A-
8,4,2002-1,222,WP
9,4,2003-1,88,C
10,4,2001-1,85,C
11,4,2002-1,102,C
12,4,2001-1,105,B+
13,4,2001-2,87,C+
14,4,2001-2,89,C
15,4,2002-2,213,B
16,4,2003-2,108,B+
17,4,2001-1,285,B
18,4,2001-2,88,F
19,4,2001-2,212,D+
20,4,2002-1,103,C+
21,4,2002-2,212,C
22,4,2003-1,222,C
23,4,2003-2,107,B
24,4,2003-2,106,C+
25,89,2014-1,94,B
26,89,2014-1,95,F
27,89,2015-1,73,WP
28,89,2007-1,180,A-
29,89,2012-2,269,C+
30,89,2008-1,162,RE
31,89,2009-1,163,B+
32,89,2011-1,209,RE
33,89,2011-2,215,C
34,89,2012-1,224,C
35,89,2012-2,268,A-
36,89,2013-1,95,F
37,89,2004-2,292,B+
38,89,2005-1,175,A
39,89,2008-1,197,RE
40,89,2009-1,91,B
41,89,2015-1,95,C
42,89,2015-2,80,D
43,89,2004-2,82,C
44,89,2005-1,82,B+
45,89,2006-2,89,B
46,89,2006-2,243,A-
47,89,2011-1,269,RE
48,89,2013-1,94,F
49,113,2001-2,87,D
50,113,2006-1,91,B
51,113,2001-1,84,B
52,113,2001-2,163,D+
53,113,2005-1,175,B
54,113,2005-1,202,D+
55,113,2005-2,202,B+
56,113,2006-1,88,F
57,113,2006-1,197,A
58,113,2006-2,101,B
59,113,2001-1,175,D+
60,113,2001-1,162,C
61,113,2004-1,82,D+
62,113,2004-1,102,C+
63,113,2004-1,180,C+
64,113,2005-2,83,C+
65,113,2005-2,89,C+
66,113,2001-1,292,F
67,113,2001-1,85,F
68,113,2002-1,180,D+
69,113,2002-1,292,C
70,113,2005-1,82,B+
71,113,2006-2,285,C+
72,113,2008-2,279,C+
73,113,2002-1,85,D+
74,113,2002-2,87,C
75,113,2002-2,89,D+
76,113,2002-2,163,C
77,113,2005-1,197,WP
78,113,2006-2,104,B
79,113,2006-2,106,C
80,551,2008-1,15,P
81,551,2008-1,243,C+
82,551,2008-1,81,F
83,551,2008-1,50,P
84,639,2013-1,158,F
85,639,2013-1,208,F
86,639,2013-1,209,F
87,639,2013-1,73,F
88,639,2013-1,74,F
89,653,2002-1,252,RE
90,653,2001-2,86,D
91,653,2001-2,210,B
92,653,2002-1,12,RE
93,653,2002-1,292,RE
94,653,2001-2,5,D
95,749,2007-1,82,WP
96,749,2007-1,81,F
97,749,2007-1,202,WF
98,1217,2001-1,50,RE
99,1217,2002-1,210,B+
100,1217,2002-2,89,B+
101,1217,2002-2,163,B
102,1217,2002-1,162,B
103,1217,2002-2,83,C+
104,1217,2003-1,88,B+
105,1217,2003-1,103,B
106,1217,2003-1,222,B
107,1217,2003-2,107,B+
108,1217,2003-2,108,B
109,1217,2003-2,279,B
110,1217,2002-2,213,B+
111,1217,2003-1,102,B+
112,1217,2003-1,180,C+
113,1217,2002-1,292,A-
114,1217,2003-1,104,A-
115,1217,2003-2,285,B
116,1217,2003-2,106,B+
117,1217,2001-1,196,RE
118,1217,2002-1,175,A-
119,1217,2002-1,84,C+
120,1217,2002-2,212,C+
121,1217,2001-1,157,RE
122,1217,2002-1,85,B
123,1217,2002-2,87,B
124,1217,2002-3,105,A-
125,1303,2004-2,108,B
126,1303,2005-1,104,A-
127,1303,2005-1,111,C+
128,1303,2002-1,85,B+
129,1303,2002-2,89,B+
130,1303,2003-2,87,B
131,1303,2003-2,107,B
132,1303,2004-1,105,B
133,1303,2005-1,115,B
134,1303,2004-1,102,C+
135,1303,2002-2,83,B
136,1303,2003-1,88,B
137,1303,2003-1,103,B+
138,1303,2004-2,285,C+
139,1303,2005-1,113,D
140,1303,2002-1,238,B+
141,1303,2003-2,106,C+
142,1303,2004-1,234,B
143,1303,2004-2,237,B
144,1353,2001-1,175,F
145,1353,2001-1,84,D
146,1353,2001-1,292,D
147,1353,2002-2,87,F
148,1353,2010-1,149,B+
149,1353,2010-1,244,C+
150,1353,2001-1,81,D
151,1353,2010-1,152,B+
152,1353,2001-1,210,F
153,1353,2010-1,168,B+
154,1353,2010-1,265,B+
155,1353,2001-1,162,F
156,1353,2002-2,292,C
157,1353,2001-1,85,NG 
158,1652,2001-1,162,B
159,1652,2001-1,85,C
160,1652,2001-2,163,C
161,1652,2001-2,212,D
162,1652,2001-1,175,D+
163,1652,2001-1,292,C
164,1652,2001-2,87,C
165,1652,2001-2,89,D+
166,1652,2001-2,213,F
167,1652,2002-1,180,C+
168,1652,2001-3,213,D+
169,1652,2005-1,285,NG
170,1652,2005-1,279,F
171,1652,2001-1,84,A-
172,1652,2002-1,105,W
173,1652,2002-1,104,D
174,1652,2004-1,285,RE
175,1652,2005-1,104,F
176,1652,2001-1,210,C+
177,1652,2004-1,279,RE
178,1652,2001-2,88,F
179,1652,2004-1,104,RE
180,1652,2007-1,163,C+
181,1652,2007-1,279,C+
182,1652,2007-1,285,D+
183,2030,2002-1,139,A-
184,2030,2002-2,89,B
185,2030,2003-1,103,C
186,2030,2003-2,106,C
187,2030,2002-2,87,C+
188,2030,2002-2,88,D+
189,2030,2003-2,108,B+
190,2030,2003-2,121,A
191,2030,2002-1,105,A-
192,2030,2002-2,212,C
193,2077,2001-1,81,C+
194,2077,2001-1,175,D+
195,2077,2001-1,162,F
196,2077,2009-1,243,F
197,2077,2001-1,4,C
198,2077,2009-1,157,F
199,2158,2011-1,158,B+
200,2158,2011-2,244,B+
201,2158,2011-2,269,C+
202,2158,2012-1,94,C+
203,2158,2013-1,95,B
204,2158,2011-2,80,WP
205,2158,2012-1,90,C+
206,2158,2012-1,95,B+
207,2158,2012-2,80,F
208,2158,2013-1,93,B
209,2158,2014-1,224,D
210,2158,2011-1,209,B
211,2158,2011-2,79,A
212,2158,2011-2,159,B
213,2158,2012-1,176,A-
214,2158,2012-2,278,C
215,2158,2012-2,291,C+
216,2158,2013-2,80,D+
217,2158,2015-2,109,A-
218,2158,2011-1,70,B
219,2158,2011-1,73,C
220,2158,2011-2,215,C
221,2158,2013-1,73,B
222,2158,2014-2,80,C
223,2158,2015-1,92,C+
224,2158,2015-1,224,D+
225,2158,2015-2,99,B
226,2158,2011-2,268,A
227,2158,2013-1,224,WF
228,2158,2015-2,96,C+
229,2158,2015-2,97,C+
230,2158,2015-2,224,C
231,2158,2011-1,208,C+
232,2158,2011-1,289,A-
233,2158,2012-1,224,D
234,2158,2012-2,284,B
235,2515,2007-1,296,B
236,2515,2007-2,107,C+
237,2515,2007-2,202,C
238,2515,2008-2,89,C
239,2515,2008-3,205,D+
240,2515,2007-1,197,D+
241,2515,2008-1,272,C+
242,2515,2008-2,100,B
243,2515,2007-1,202,C
244,2515,2008-1,102,C
245,2515,2008-2,106,B
246,2515,2007-1,82,C+
247,2515,2007-2,83,C
248,2515,2008-1,197,C
249,2515,2008-2,101,C
250,2515,2008-2,104,B+
251,2515,2008-2,205,F
252,2515,2008-1,88,C+
253,2694,2019-2,276,A
254,2694,2019-2,265,C
255,2694,2020-1,73,NG
256,2694,2019-2,295,P
257,2694,2020-1,90,NG
258,2694,2020-1,74,NG
259,2694,2020-1,208,NG
260,2694,2022-1,73,W
261,2694,2022-1,74,B+
262,2788,2011-1,95,B+
263,2788,2011-2,79,A-
264,2788,2011-1,73,WP
265,2788,2012-1,73,D
266,2792,2005-2,106,B+
267,2792,2005-2,108,A
268,2792,2005-2,107,A
269,2792,2005-2,272,B
270,3136,2013-1,74,F
271,3136,2013-1,73,F
272,3136,2013-1,289,F
273,3301,2001-1,180,F
274,3301,2003-2,213,C+
275,3301,2003-3,105,C+
276,3301,2004-1,103,C
277,3301,2004-2,107,F
278,3301,2004-2,205,F
279,3301,2005-1,82,W
280,3301,2005-2,82,F
281,3301,2001-1,210,C
282,3301,2003-1,162,B
283,3301,2003-3,81,B+
284,3301,2005-1,197,F
285,3301,2003-1,180,C+
286,3301,2003-2,163,B+
287,3301,2004-1,197,WP
288,3301,2004-2,108,C+
289,3301,2003-1,210,B
290,3301,2003-2,87,B+
291,3301,2004-1,104,B+
292,3301,2004-2,197,NG
293,3301,2003-1,175,A-
294,3301,2003-1,84,D+
295,3301,2003-1,82,F
296,3301,2004-1,82,F
297,3301,2004-1,279,D+
298,3301,2004-2,285,D
299,3573,2003-3,210,C
300,3573,2002-1,292,C
301,3573,2002-2,210,D+
302,3573,2002-1,201,C+
303,3573,2002-1,175,B
304,3573,2002-1,84,B
305,3573,2002-1,85,C+
306,3573,2002-2,162,B
307,3573,2002-1,153,C
308,3573,2002-2,89,F
309,3573,2003-1,292,A
310,3573,2003-2,89,W
311,3573,2003-2,87,B+
312,3573,2003-3,266,B+
313,3573,2003-1,180,C+
314,3573,2003-1,210,C
315,3573,2003-2,163,B
316,3593,2004-1,104,D+
317,3593,2003-1,175,NG
318,3593,2003-2,89,D+
319,3593,2004-2,82,F
320,3593,2003-1,82,D
321,3593,2003-1,84,F
322,3593,2003-1,180,D
323,3593,2003-2,83,A-
324,3593,2004-1,102,C
325,3593,2004-2,89,C
326,3593,2004-1,88,WF
327,3593,2005-1,84,B+
328,3593,2003-1,292,A
329,3593,2003-2,87,C
330,3593,2004-2,84,D
331,3593,2005-1,197,D+
332,3593,2005-1,279,B
333,3641,2002-2,212,WF
334,3641,2003-1,103,C
335,3641,2003-2,107,C
336,3641,2004-1,88,B
337,3641,2004-2,87,A-
338,3641,2004-2,106,C+
339,3641,2004-2,107,B+
340,3641,2004-2,205,C+
341,3641,2004-1,205,WF
342,3641,2008-2,218,W
343,3641,2002-2,213,D+
344,3641,2003-1,213,B
345,3641,2003-2,279,B
346,3641,2002-2,83,C+
347,3641,2002-2,87,C
348,3641,2002-2,89,C+
349,3641,2003-1,104,A-
350,3641,2003-2,285,B
351,3641,2008-2,100,F
