STUDENT_COURSES_ID,STUID,COURSEID,ENROLLEDSEMESTER,COURSEGRADE
1,1,82,2003-1,F
2,1,84,2003-1,D+
3,1,180,2003-1,B
4,4,104,2001-1,C
5,4,213,2001-2,F
6,4,88,2002-2,C
7,4,102,2003-1,A-
8,4,222,2002-1,WP
9,4,88,2003-1,C
10,4,85,2001-1,C
11,4,102,2002-1,C
12,4,105,2001-1,B+
13,4,87,2001-2,C+
14,4,89,2001-2,C
15,4,213,2002-2,B
16,4,108,2003-2,B+
17,4,285,2001-1,B
18,4,88,2001-2,F
19,4,212,2001-2,D+
20,4,103,2002-1,C+
21,4,212,2002-2,C
22,4,222,2003-1,C
23,4,107,2003-2,B
24,4,106,2003-2,C+
25,89,94,2014-1,B
26,89,95,2014-1,F
27,89,73,2015-1,WP
28,89,180,2007-1,A-
29,89,269,2012-2,C+
30,89,162,2008-1,RE
31,89,163,2009-1,B+
32,89,209,2011-1,RE
33,89,215,2011-2,C
34,89,224,2012-1,C
35,89,268,2012-2,A-
36,89,95,2013-1,F
37,89,292,2004-2,B+
38,89,175,2005-1,A
39,89,197,2008-1,RE
40,89,91,2009-1,B
41,89,95,2015-1,C
42,89,80,2015-2,D
43,89,82,2004-2,C
44,89,82,2005-1,B+
45,89,89,2006-2,B
46,89,243,2006-2,A-
47,89,269,2011-1,RE
48,89,94,2013-1,F
49,113,87,2001-2,D
50,113,91,2006-1,B
51,113,84,2001-1,B
52,113,163,2001-2,D+
53,113,175,2005-1,B
54,113,202,2005-1,D+
55,113,202,2005-2,B+
56,113,88,2006-1,F
57,113,197,2006-1,A
58,113,101,2006-2,B
59,113,175,2001-1,D+
60,113,162,2001-1,C
61,113,82,2004-1,D+
62,113,102,2004-1,C+
63,113,180,2004-1,C+
64,113,83,2005-2,C+
65,113,89,2005-2,C+
66,113,292,2001-1,F
67,113,85,2001-1,F
68,113,180,2002-1,D+
69,113,292,2002-1,C
70,113,82,2005-1,B+
71,113,285,2006-2,C+
72,113,279,2008-2,C+
73,113,85,2002-1,D+
74,113,87,2002-2,C
75,113,89,2002-2,D+
76,113,163,2002-2,C
77,113,197,2005-1,WP
78,113,104,2006-2,B
79,113,106,2006-2,C
80,551,15,2008-1,P
81,551,243,2008-1,C+
82,551,81,2008-1,F
83,551,50,2008-1,P
84,639,158,2013-1,F
85,639,208,2013-1,F
86,639,209,2013-1,F
87,639,73,2013-1,F
88,639,74,2013-1,F
89,653,252,2002-1,RE
90,653,86,2001-2,D
91,653,210,2001-2,B
92,653,12,2002-1,RE
93,653,292,2002-1,RE
94,653,5,2001-2,D
95,749,82,2007-1,WP
96,749,81,2007-1,F
97,749,202,2007-1,WF
98,1217,50,2001-1,RE
99,1217,210,2002-1,B+
100,1217,89,2002-2,B+
101,1217,163,2002-2,B
102,1217,162,2002-1,B
103,1217,83,2002-2,C+
104,1217,88,2003-1,B+
105,1217,103,2003-1,B
106,1217,222,2003-1,B
107,1217,107,2003-2,B+
108,1217,108,2003-2,B
109,1217,279,2003-2,B
110,1217,213,2002-2,B+
111,1217,102,2003-1,B+
112,1217,180,2003-1,C+
113,1217,292,2002-1,A-
114,1217,104,2003-1,A-
115,1217,285,2003-2,B
116,1217,106,2003-2,B+
117,1217,196,2001-1,RE
118,1217,175,2002-1,A-
119,1217,84,2002-1,C+
120,1217,212,2002-2,C+
121,1217,157,2001-1,RE
122,1217,85,2002-1,B
123,1217,87,2002-2,B
124,1217,105,2002-3,A-
125,1303,108,2004-2,B
126,1303,104,2005-1,A-
127,1303,111,2005-1,C+
128,1303,85,2002-1,B+
129,1303,89,2002-2,B+
130,1303,87,2003-2,B
131,1303,107,2003-2,B
132,1303,105,2004-1,B
133,1303,115,2005-1,B
134,1303,102,2004-1,C+
135,1303,83,2002-2,B
136,1303,88,2003-1,B
137,1303,103,2003-1,B+
138,1303,285,2004-2,C+
139,1303,113,2005-1,D
140,1303,238,2002-1,B+
141,1303,106,2003-2,C+
142,1303,234,2004-1,B
143,1303,237,2004-2,B
144,1353,175,2001-1,F
145,1353,84,2001-1,D
146,1353,292,2001-1,D
147,1353,87,2002-2,F
148,1353,149,2010-1,B+
149,1353,244,2010-1,C+
150,1353,81,2001-1,D
151,1353,152,2010-1,B+
152,1353,210,2001-1,F
153,1353,168,2010-1,B+
154,1353,265,2010-1,B+
155,1353,162,2001-1,F
156,1353,292,2002-2,C
157,1353,85,2001-1,NG 
158,1652,162,2001-1,B
159,1652,85,2001-1,C
160,1652,163,2001-2,C
161,1652,212,2001-2,D
162,1652,175,2001-1,D+
163,1652,292,2001-1,C
164,1652,87,2001-2,C
165,1652,89,2001-2,D+
166,1652,213,2001-2,F
167,1652,180,2002-1,C+
168,1652,213,2001-3,D+
169,1652,285,2005-1,NG
170,1652,279,2005-1,F
171,1652,84,2001-1,A-
172,1652,105,2002-1,W
173,1652,104,2002-1,D
174,1652,285,2004-1,RE
175,1652,104,2005-1,F
176,1652,210,2001-1,C+
177,1652,279,2004-1,RE
178,1652,88,2001-2,F
179,1652,104,2004-1,RE
180,1652,163,2007-1,C+
181,1652,279,2007-1,C+
182,1652,285,2007-1,D+
183,2030,139,2002-1,A-
184,2030,89,2002-2,B
185,2030,103,2003-1,C
186,2030,106,2003-2,C
187,2030,87,2002-2,C+
188,2030,88,2002-2,D+
189,2030,108,2003-2,B+
190,2030,121,2003-2,A
191,2030,105,2002-1,A-
192,2030,212,2002-2,C
193,2077,81,2001-1,C+
194,2077,175,2001-1,D+
195,2077,162,2001-1,F
196,2077,243,2009-1,F
197,2077,4,2001-1,C
198,2077,157,2009-1,F
199,2158,158,2011-1,B+
200,2158,244,2011-2,B+
201,2158,269,2011-2,C+
202,2158,94,2012-1,C+
203,2158,95,2013-1,B
204,2158,80,2011-2,WP
205,2158,90,2012-1,C+
206,2158,95,2012-1,B+
207,2158,80,2012-2,F
208,2158,93,2013-1,B
209,2158,224,2014-1,D
210,2158,209,2011-1,B
211,2158,79,2011-2,A
212,2158,159,2011-2,B
213,2158,176,2012-1,A-
214,2158,278,2012-2,C
215,2158,291,2012-2,C+
216,2158,80,2013-2,D+
217,2158,109,2015-2,A-
218,2158,70,2011-1,B
219,2158,73,2011-1,C
220,2158,215,2011-2,C
221,2158,73,2013-1,B
222,2158,80,2014-2,C
223,2158,92,2015-1,C+
224,2158,224,2015-1,D+
225,2158,99,2015-2,B
226,2158,268,2011-2,A
227,2158,224,2013-1,WF
228,2158,96,2015-2,C+
229,2158,97,2015-2,C+
230,2158,224,2015-2,C
231,2158,208,2011-1,C+
232,2158,289,2011-1,A-
233,2158,224,2012-1,D
234,2158,284,2012-2,B
235,2515,296,2007-1,B
236,2515,107,2007-2,C+
237,2515,202,2007-2,C
238,2515,89,2008-2,C
239,2515,205,2008-3,D+
240,2515,197,2007-1,D+
241,2515,272,2008-1,C+
242,2515,100,2008-2,B
243,2515,202,2007-1,C
244,2515,102,2008-1,C
245,2515,106,2008-2,B
246,2515,82,2007-1,C+
247,2515,83,2007-2,C
248,2515,197,2008-1,C
249,2515,101,2008-2,C
250,2515,104,2008-2,B+
251,2515,205,2008-2,F
252,2515,88,2008-1,C+
